date,new_cases,total_vaccinations,stringency_index,stay_home_requirements,close_public_transport,cancel_public_events,facial_coverings,school_closures,TEMP,HUMIDITY,WIND
2020-09-26,1869,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-27,1766,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-28,1494,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-29,1647,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-30,1850,0,47.22,0,0,2,4,1,17,79.75,70
2020-10-01,2548,0,47.22,0,0,2,4,1,19,79.5,18
2020-10-02,2499,0,47.22,0,0,2,4,1,20,67.1,19
2020-10-03,2843,0,47.22,0,0,2,4,1,17,64.8,18
2020-10-04,2578,0,47.22,0,0,2,4,1,18,70.9,12
2020-10-05,2257,0,47.22,0,0,2,4,1,17,70.9,78
2020-10-06,2677,0,55.56,0,1,2,4,1,18,68.7,13
2020-10-07,3677,0,55.56,0,1,2,4,1,16,79.6,96
2020-10-08,4458,0,55.56,0,1,2,4,1,16,63.7,64
2020-10-09,5372,0,55.56,0,1,2,4,1,16,67.5,59
2020-10-10,5724,0,55.56,0,1,2,4,1,16,72.5,11
2020-10-11,5456,0,55.56,0,1,2,4,1,20.5,84.2,12.5
2020-10-12,4619,0,55.56,0,1,2,4,1,20.5,81.1,12.5
2020-10-13,5898,0,55.56,0,1,2,4,1,20.5,81.1,12.5
2020-10-14,7332,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-15,8803,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-16,10009,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-17,10925,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-18,11705,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-19,9337,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-20,10871,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-21,15199,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-22,16078,0,50,0,0,2,4,1,20.5,81.1,12.5
2020-10-23,19143,0,68.52,2,1,2,4,2,20.5,81.1,12.5
2020-10-24,19640,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-25,21273,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-26,17007,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-27,21989,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-28,24988,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-29,26829,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-30,31079,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-10-31,31756,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-01,29905,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-02,22253,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-03,28241,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-04,30548,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-05,34502,0,66.67,2,1,2,4,2,20.5,81.1,12.5
2020-11-06,37802,0,76.85,2,1,2,4,2,20.5,81.1,12.5
2020-11-07,39809,0,76.85,2,1,2,4,2,20.5,81.1,12.5
2020-11-08,32614,0,76.85,2,1,2,4,2,20.5,81.1,12.5
2020-11-09,25269,0,76.85,2,1,2,4,2,20.5,81.1,12.5
2020-11-10,35090,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-11,32961,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-12,37977,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-13,40902,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-14,37249,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-15,33977,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-16,27352,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-17,32191,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-18,34280,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-19,36176,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-20,37239,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-21,34764,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-22,28337,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-23,22927,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-24,23227,0,79.63,2,1,2,4,2,20.5,81.1,12.5
